date,dividend
2022-04-12,1.17863
2022-05-11,1.257452
2022-06-10,1.348696
2022-07-12,1.283459
2022-08-10,1.327067
2022-09-13,1.265012
2022-10-13,0.85032
2022-11-11,0.788128
2022-12-12,0.701563
2023-01-11,0.896317
2023-02-10,0.947851
2023-03-10,0.927821
2023-04-13,0.91119
2023-05-11,0.912694
2023-06-13,0.867513
2023-07-12,0.874934
2023-08-10,0.808716
2023-09-13,0.739753
2023-10-11,0.800673
2023-11-13,0.712128
2023-12-12,0.77
2024-01-11,0.7
2024-02-14,0.75
2024-03-12,0.78
2024-04-10,0.8
2024-05-13,0.81
2024-06-12,0.74
2024-07-10,0.74
2024-08-12,0.74
2024-09-11,0.7
2024-10-10,0.8
2024-11-12,0.75
2024-12-11,0.77
2025-01-13,0.93
2025-02-12,0.75
2025-03-14,0.8
2025-04-10,0.72
2025-05-13,0.83
2025-06-11,0.82
2025-07-10,0.84
2025-08-12,0.78
2025-09-10,0.7
2025-10-10,0.76
2025-11-12,1.250056
2025-11-28,4.306052
